Year,Total,Wild,Captive,Released_to_Wild,Wild_Deaths,Source
1982,22,22,0,0,0,USFWS Historical Data
1987,27,0,27,0,,USFWS Historical Data   https://wildlife.ca.gov/Conservation/Birds/California-Condor
1992,51,9,42,,,"USFWS Historical Graph"
2000,178,50,128,,,"USFWS Historical Graph"
2001,187,58,129,,,"USFWS Historical Graph"
2002,203,70,133,,,"USFWS Historical Graph"
2003,215,84,131,,,"USFWS Historical Graph"
2004,247,77,180,,,"USFWS Historical Graph"
2005,279,121,158,,,"USFWS Historical Graph"
2006,283,130,153,,,"USFWS Historical Graph"
2007,298,147,151,,,"USFWS Historical Graph"
2008,327,173,148,,,"https://www.nps.gov/articles/sw-ca-condor-2008-11.htm"
2009,350,180,170,,,""
2010,370,181,189,,15,""

2011,390,210,180,25,20,"7273.pdf-3 years average-5-YEAR REVIEW 
California condor/Gymnogyps californianus "
2012,404,235,169,25,20,"7273.pdf-3 years average-5-YEAR REVIEW 
California condor/Gymnogyps californianus "
2013,412,230,182,25,20,"7273.pdf-3 years average-5-YEAR REVIEW 
California condor/Gymnogyps californianus "
2014,421,228,193,15,33,"2015S-CalConRec-FWS.pdf"
2015,435,268,167,25,23,"7273.pdf-3 years average-5-YEAR REVIEW 
California condor/Gymnogyps californianus "
2016,446,276,170,21,15,"https://www.nps.gov/articles/caco-world-2016.htm"
2017,463,290,173,21,17,"https://www.nps.gov/articles/caco-world-2017.htm"
2018,488,312,176,29,20,"https://www.nps.gov/articles/caco-world-2018.htm"
2019,518,337,181,32,17,"https://www.nps.gov/articles/caco-world-2019.htm"
2020,504,329,175,28,42,"https://www.nps.gov/articles/000/caco-world-2020-htm.htm
                        USFWS 2022 Report"
2021,537,334,203,28,37,"https://www.nps.gov/articles/000/caco-world-2021.htm"
2022,564,350,214,31,20,"USFWS 2022 Report"
2023,561,344,217,27,44,"USFWS 2023 Report"
2024,566,369,197,56,35,"USFWS 2024 Report"

