Year,Population,Action
2024,549.9118857142857,-20.0
2025,539.344484337161,-20.0
2026,529.2471890515718,-20.0
2027,519.5752399335272,-20.0
2028,510.28886713369707,-20.0
2029,501.3525790277538,-20.0
2030,492.7345672359421,-20.0
2031,484.40620647205276,-20.0
2032,476.341631804829,-20.0
2033,468.51737947030244,-20.0
2034,460.91208012898727,-20.0
2035,453.5061956125828,-20.0
2036,446.2817918948468,-20.0
2037,439.22234235764876,-20.0
2038,432.3125564861304,-20.0
2039,425.5382299769553,-20.0
2040,418.8861129268923,-20.0
2041,412.3437933207007,-20.0
2042,405.8995934846305,-20.0
2043,399.5424775358594,-20.0
2044,393.26196815524327,-20.0
2045,387.04807125368154,-20.0
2046,380.8912073012681,-20.0
2047,374.7821482511504,-20.0
2048,368.7119591229284,-20.0
2049,362.67194341844635,-20.0
2050,356.6535916298749,-20.0
2051,350.6485321691232,-20.0
2052,344.6484841012404,-20.0
2053,338.645211104393,-20.0
